algorithm,checkpoint,step,model_path,mean_reward,std_reward,min_reward,max_reward,mean_caught,mean_missed,mean_coverage,mean_false
DQN,wildlife_dqn_330000_steps.zip,330000,models/dqn/wildlife_dqn_330000_steps.zip,2040.8529,1429.2648,-642.7140,3511.4300,0.0000,6.8000,15.8000,62.0000
DQN,wildlife_dqn_335000_steps.zip,335000,models/dqn/wildlife_dqn_335000_steps.zip,1414.9496,1409.8724,-79.7576,3120.5024,0.0000,8.8000,24.8000,79.6000
DQN,wildlife_dqn_340000_steps.zip,340000,models/dqn/wildlife_dqn_340000_steps.zip,1818.4865,1170.1548,417.7210,3644.6014,0.0000,8.8000,21.0000,40.0000
DQN,wildlife_dqn_345000_steps.zip,345000,models/dqn/wildlife_dqn_345000_steps.zip,2744.5533,1090.6230,876.1380,3943.9378,0.0000,10.8000,18.2000,11.2000
DQN,wildlife_dqn_350000_steps.zip,350000,models/dqn/wildlife_dqn_350000_steps.zip,1363.1613,1058.5042,-32.9992,2973.6878,0.0000,8.6000,29.0000,54.2000
DQN,wildlife_dqn_355000_steps.zip,355000,models/dqn/wildlife_dqn_355000_steps.zip,3152.8390,572.6116,2180.5648,3765.5672,0.0000,5.4000,12.8000,10.8000
DQN,wildlife_dqn_360000_steps.zip,360000,models/dqn/wildlife_dqn_360000_steps.zip,2940.3490,577.9511,2222.9266,3637.7984,0.0000,5.8000,12.2000,0.8000
DQN,wildlife_dqn_365000_steps.zip,365000,models/dqn/wildlife_dqn_365000_steps.zip,1848.0084,1720.6911,9.0094,4110.7444,0.0000,7.6000,18.4000,19.0000
DQN,wildlife_dqn_370000_steps.zip,370000,models/dqn/wildlife_dqn_370000_steps.zip,2336.7877,821.3800,878.2734,3250.6168,0.0000,8.0000,16.8000,21.4000
DQN,wildlife_dqn_375000_steps.zip,375000,models/dqn/wildlife_dqn_375000_steps.zip,2940.6581,1326.4337,927.9822,4995.2166,0.0000,10.0000,18.4000,6.4000
DQN,wildlife_dqn_380000_steps.zip,380000,models/dqn/wildlife_dqn_380000_steps.zip,2415.3700,1281.3626,818.5416,4752.6240,0.0000,8.2000,23.0000,2.6000
DQN,wildlife_dqn_385000_steps.zip,385000,models/dqn/wildlife_dqn_385000_steps.zip,3245.0960,371.4581,2565.4480,3699.9000,0.0000,9.0000,7.0000,4.2000
DQN,wildlife_dqn_390000_steps.zip,390000,models/dqn/wildlife_dqn_390000_steps.zip,2173.8995,884.0621,561.5634,2943.8532,0.0000,7.8000,13.2000,46.4000
DQN,wildlife_dqn_395000_steps.zip,395000,models/dqn/wildlife_dqn_395000_steps.zip,2350.0271,1154.6803,386.0832,3494.8944,0.0000,8.8000,11.0000,7.6000
DQN,wildlife_dqn_400000_steps.zip,400000,models/dqn/wildlife_dqn_400000_steps.zip,2657.6197,1051.8659,1074.0018,4062.3078,0.0000,7.2000,21.2000,1.2000
DQN,wildlife_dqn_405000_steps.zip,405000,models/dqn/wildlife_dqn_405000_steps.zip,2564.5043,1591.4054,435.8148,4443.8164,0.0000,7.6000,13.0000,13.6000
DQN,wildlife_dqn_410000_steps.zip,410000,models/dqn/wildlife_dqn_410000_steps.zip,1994.9921,1170.4591,330.0164,3699.2874,0.0000,7.2000,18.6000,25.6000
DQN,wildlife_dqn_415000_steps.zip,415000,models/dqn/wildlife_dqn_415000_steps.zip,2227.9337,1465.9686,459.4378,4569.6100,0.0000,10.6000,12.2000,31.4000
DQN,wildlife_dqn_420000_steps.zip,420000,models/dqn/wildlife_dqn_420000_steps.zip,2293.2255,618.6739,1535.5236,2920.8852,0.0000,8.6000,17.4000,16.8000
DQN,wildlife_dqn_425000_steps.zip,425000,models/dqn/wildlife_dqn_425000_steps.zip,2384.6152,1389.4473,-54.4026,4222.7726,0.0000,9.0000,20.0000,20.6000
DQN,wildlife_dqn_430000_steps.zip,430000,models/dqn/wildlife_dqn_430000_steps.zip,1387.4077,1680.1218,-1509.9338,3699.9000,0.0000,7.6000,14.6000,49.6000
DQN,wildlife_dqn_435000_steps.zip,435000,models/dqn/wildlife_dqn_435000_steps.zip,1357.1382,876.2090,-81.1662,2430.3466,0.0000,7.0000,10.8000,55.4000
DQN,wildlife_dqn_440000_steps.zip,440000,models/dqn/wildlife_dqn_440000_steps.zip,2368.4298,1261.9755,-47.5106,3535.8954,0.0000,8.2000,17.8000,16.6000
DQN,wildlife_dqn_445000_steps.zip,445000,models/dqn/wildlife_dqn_445000_steps.zip,1983.6246,719.0024,1184.3718,3036.8076,0.0000,6.4000,6.2000,0.2000
DQN,wildlife_dqn_450000_steps.zip,450000,models/dqn/wildlife_dqn_450000_steps.zip,3391.8206,1062.4477,1678.9632,4945.8364,0.0000,7.8000,9.8000,6.8000
DQN,wildlife_dqn_455000_steps.zip,455000,models/dqn/wildlife_dqn_455000_steps.zip,2218.7802,1699.8901,-299.4838,5040.2414,0.0000,7.8000,13.8000,8.8000
DQN,wildlife_dqn_460000_steps.zip,460000,models/dqn/wildlife_dqn_460000_steps.zip,3275.6735,1051.4506,1270.4562,4360.4236,0.0000,7.8000,18.0000,12.2000
DQN,wildlife_dqn_465000_steps.zip,465000,models/dqn/wildlife_dqn_465000_steps.zip,2888.9007,1198.3251,1731.7748,5110.5364,0.0000,10.0000,25.0000,6.0000
DQN,wildlife_dqn_470000_steps.zip,470000,models/dqn/wildlife_dqn_470000_steps.zip,2024.9177,1345.3545,-37.7356,3739.1628,0.0000,6.8000,15.8000,17.2000
DQN,wildlife_dqn_475000_steps.zip,475000,models/dqn/wildlife_dqn_475000_steps.zip,1490.0978,1471.6109,2.3334,3792.2092,0.0000,5.8000,8.0000,16.4000
DQN,wildlife_dqn_480000_steps.zip,480000,models/dqn/wildlife_dqn_480000_steps.zip,2815.8186,1544.7614,392.6720,5252.4034,0.0000,10.4000,13.4000,19.2000
DQN,wildlife_dqn_485000_steps.zip,485000,models/dqn/wildlife_dqn_485000_steps.zip,2726.7372,1673.6217,132.9210,4797.2400,0.0000,6.4000,9.4000,0.6000
DQN,wildlife_dqn_490000_steps.zip,490000,models/dqn/wildlife_dqn_490000_steps.zip,2951.7723,819.3663,1464.7830,3699.9000,0.0000,7.4000,14.0000,0.4000
DQN,wildlife_dqn_495000_steps.zip,495000,models/dqn/wildlife_dqn_495000_steps.zip,1575.9121,1349.0501,-82.9362,2939.9314,0.0000,7.8000,10.8000,0.6000
