step,action,reward,total_reward,battery,coverage_pct,threats_caught,threats_missed,false_alerts
145,Investigate,-0.342,24.853,0.579,34.0,3,0,8
146,Investigate,-0.343,24.51,0.573,34.0,3,0,8
147,Move North,-0.343,24.167,0.569,34.0,3,0,8
148,Investigate,-0.344,23.823,0.563,34.0,3,0,8
149,Dispatch Alert,-45.344,-21.521,0.558,34.0,3,0,9
150,Move North,-0.345,-21.866,0.554,34.0,3,0,9
151,Move South,-0.345,-22.211,0.55,34.0,3,0,9
152,Move North,-0.345,-22.556,0.546,34.0,3,0,9
153,Dispatch Alert,-50.346,-72.902,0.541,34.0,3,0,10
154,Move West,2.654,-70.248,0.537,35.0,3,0,10
155,Investigate,-0.347,-70.595,0.531,35.0,3,0,10
156,Move East,-0.347,-70.942,0.527,35.0,3,0,10
157,Move West,-0.348,-71.29,0.523,35.0,3,0,10
158,Investigate,-0.348,-71.638,0.517,35.0,3,0,10
159,Recharge,-5.348,-76.987,0.517,35.0,3,0,10
160,Recharge,-5.348,-82.335,0.517,35.0,3,0,10
161,Move North,2.651,-79.684,0.513,36.0,3,0,10
162,Dispatch Alert,-55.349,-135.033,0.508,36.0,3,0,11
163,Move North,2.65,-132.382,0.504,37.0,3,0,11
164,Move South,-0.35,-132.732,0.5,37.0,3,0,11
165,Move South,-0.35,-133.083,0.496,37.0,3,0,11
166,Move North,-0.351,-133.434,0.492,37.0,3,0,11
167,Move South,-0.351,-133.785,0.488,37.0,3,0,11
168,Move South,2.648,-131.136,0.484,38.0,3,0,11
169,Recharge,-5.352,-136.488,0.484,38.0,3,0,11
170,Dispatch Alert,-60.352,-196.84,0.479,38.0,3,0,12
171,Move South,2.647,-194.193,0.475,39.0,3,0,12
172,Move South,-0.353,-194.546,0.471,39.0,3,0,12
173,Recharge,-5.353,-199.898,0.471,39.0,3,0,12
174,Move South,3.147,-196.752,0.467,40.0,3,0,12
175,Recharge,-5.353,-202.105,0.467,40.0,3,0,12
176,Investigate,-0.354,-202.459,0.461,40.0,3,0,12
177,Move South,-0.354,-202.813,0.457,40.0,3,0,12
178,Investigate,-0.355,-203.168,0.451,40.0,3,0,12
179,Investigate,-0.356,-203.524,0.445,40.0,3,0,12
180,Investigate,-0.356,-203.88,0.439,40.0,3,0,12
181,Move North,-0.357,-204.236,0.435,40.0,3,0,12
182,Move South,-0.357,-204.593,0.431,40.0,3,0,12
183,Investigate,-0.358,-204.951,0.425,40.0,3,0,12
184,Recharge,-5.357,-210.308,0.425,40.0,3,0,12
185,Investigate,-0.358,-210.666,0.419,40.0,3,0,12
186,Move East,-0.359,-211.025,0.415,40.0,3,0,12
187,Recharge,-5.359,-216.383,0.415,40.0,3,0,12
188,Move East,-0.359,-216.742,0.411,40.0,3,0,12
189,Investigate,-0.36,-217.102,0.405,40.0,3,0,12
190,Recharge,-5.359,-222.461,0.405,40.0,3,0,12
191,Dispatch Alert,-65.36,-287.821,0.4,40.0,3,0,13
192,Move East,-0.36,-288.182,0.396,40.0,3,0,13
193,Move West,-0.361,-288.542,0.392,40.0,3,0,13
194,Investigate,-0.361,-288.904,0.386,40.0,3,0,13
195,Move North,-0.362,-289.266,0.382,40.0,3,0,13
196,Move West,-0.362,-289.628,0.378,40.0,3,0,13
197,Dispatch Alert,-70.363,-359.99,0.373,40.0,3,0,14
198,Dispatch Alert,-75.363,-435.354,0.368,40.0,3,0,15
199,Investigate,-0.364,-435.717,0.362,40.0,3,0,15
200,Move West,-0.364,-436.082,0.358,40.0,3,0,15
201,Dispatch Alert,-80.365,-516.446,0.353,40.0,3,0,16
202,Investigate,-0.365,-516.812,0.347,40.0,3,0,16
203,Move South,-0.366,-517.177,0.343,40.0,3,0,16
204,Investigate,-0.366,-517.544,0.337,40.0,3,0,16
205,Move North,-0.367,-517.91,0.333,40.0,3,0,16
206,Move East,-0.367,-518.277,0.329,40.0,3,0,16
207,Investigate,-0.368,-518.645,0.323,40.0,3,0,16
208,Dispatch Alert,-85.368,-604.013,0.318,40.0,3,0,17
209,Investigate,-0.369,-604.382,0.312,40.0,3,0,17
210,Investigate,-0.369,-604.752,0.306,40.0,3,1,17
211,Move West,-0.37,-605.121,0.302,40.0,3,1,17
212,Investigate,-0.37,-605.492,0.296,40.0,3,1,17
213,Move South,-0.371,-605.863,0.292,40.0,3,1,17
214,Dispatch Alert,-90.371,-696.234,0.287,40.0,3,1,18
215,Move East,-0.372,-696.606,0.283,40.0,3,1,18
216,Investigate,-0.372,-696.978,0.277,40.0,3,1,18
217,Move East,-0.373,-697.351,0.273,40.0,3,1,18
218,Move North,-0.373,-697.724,0.269,40.0,3,1,18
219,Move East,-0.374,-698.097,0.265,40.0,3,1,18
220,Move South,-0.374,-698.471,0.261,40.0,3,1,18
221,Move West,-0.374,-698.845,0.257,40.0,3,1,18
222,Investigate,-0.375,-699.22,0.251,40.0,3,1,18
223,Move South,-0.375,-699.596,0.247,40.0,3,1,18
224,Investigate,-0.376,-699.971,0.241,40.0,3,1,18
225,Move South,-0.376,-700.348,0.237,40.0,3,1,18
226,Move West,-0.377,-700.724,0.233,40.0,3,1,18
227,Dispatch Alert,-95.377,-796.102,0.228,40.0,3,1,19
228,Move East,-0.378,-796.479,0.224,40.0,3,1,19
229,Move East,-0.378,-796.857,0.22,40.0,3,1,19
230,Move West,-0.378,-797.236,0.216,40.0,3,1,19
231,Recharge,-5.378,-802.614,0.216,40.0,3,1,19
232,Investigate,-0.379,-802.993,0.21,40.0,3,1,19
233,Move South,-0.379,-803.372,0.206,40.0,3,1,19
234,Move West,-0.38,-803.752,0.202,40.0,3,1,19
235,Move East,-0.38,-804.132,0.198,40.0,3,1,19
236,Move West,-0.381,-804.513,0.194,40.0,3,1,19
237,Recharge,-5.381,-809.894,0.194,40.0,3,1,19
238,Move West,-0.381,-810.275,0.19,40.0,3,1,19
239,Move West,2.619,-807.656,0.186,41.0,3,1,19
240,Investigate,-0.382,-808.038,0.18,41.0,3,1,19
241,Move East,-0.382,-808.42,0.176,41.0,3,1,19
242,Investigate,-0.383,-808.803,0.17,41.0,3,1,19
243,Move South,-0.383,-809.187,0.166,41.0,3,1,19
244,Move North,-0.384,-809.571,0.162,41.0,3,1,19
245,Recharge,-5.384,-814.954,0.162,41.0,3,1,19
246,Investigate,-0.384,-815.339,0.156,41.0,3,1,19
247,Investigate,-0.385,-815.724,0.15,41.0,3,1,19
248,Move West,-0.385,-816.109,0.146,42.0,3,1,19
249,Investigate,-0.386,-816.495,0.14,42.0,3,1,19
250,Investigate,-0.387,-816.882,0.134,42.0,3,1,19
251,Investigate,-0.387,-817.269,0.128,42.0,3,1,19
252,Move West,-0.388,-817.657,0.124,43.0,3,1,19
253,Investigate,54.612,-763.045,0.118,43.0,4,1,19
254,Investigate,-0.389,-763.434,0.112,43.0,4,1,19
